,Input1,Input2,Target,Alpha
73,z0/mcf-z-stacks-03212011_g08_s2_w2.tif,z16/mcf-z-stacks-03212011_g08_s2_w2.tif,z8/mcf-z-stacks-03212011_g08_s2_w2.tif,0.5
74,z0/mcf-z-stacks-03212011_g09_s1_w2.tif,z16/mcf-z-stacks-03212011_g09_s1_w2.tif,z8/mcf-z-stacks-03212011_g09_s1_w2.tif,0.5
75,z0/mcf-z-stacks-03212011_g09_s2_w2.tif,z16/mcf-z-stacks-03212011_g09_s2_w2.tif,z8/mcf-z-stacks-03212011_g09_s2_w2.tif,0.5
76,z0/mcf-z-stacks-03212011_g10_s1_w2.tif,z16/mcf-z-stacks-03212011_g10_s1_w2.tif,z8/mcf-z-stacks-03212011_g10_s1_w2.tif,0.5
77,z0/mcf-z-stacks-03212011_g10_s2_w2.tif,z16/mcf-z-stacks-03212011_g10_s2_w2.tif,z8/mcf-z-stacks-03212011_g10_s2_w2.tif,0.5
78,z0/mcf-z-stacks-03212011_g11_s1_w2.tif,z16/mcf-z-stacks-03212011_g11_s1_w2.tif,z8/mcf-z-stacks-03212011_g11_s1_w2.tif,0.5
79,z0/mcf-z-stacks-03212011_g11_s2_w2.tif,z16/mcf-z-stacks-03212011_g11_s2_w2.tif,z8/mcf-z-stacks-03212011_g11_s2_w2.tif,0.5
80,z0/mcf-z-stacks-03212011_g12_s1_w2.tif,z16/mcf-z-stacks-03212011_g12_s1_w2.tif,z8/mcf-z-stacks-03212011_g12_s1_w2.tif,0.5
81,z0/mcf-z-stacks-03212011_g12_s2_w2.tif,z16/mcf-z-stacks-03212011_g12_s2_w2.tif,z8/mcf-z-stacks-03212011_g12_s2_w2.tif,0.5
82,z0/mcf-z-stacks-03212011_g13_s1_w2.tif,z16/mcf-z-stacks-03212011_g13_s1_w2.tif,z8/mcf-z-stacks-03212011_g13_s1_w2.tif,0.5
83,z0/mcf-z-stacks-03212011_g13_s2_w2.tif,z16/mcf-z-stacks-03212011_g13_s2_w2.tif,z8/mcf-z-stacks-03212011_g13_s2_w2.tif,0.5
84,z0/mcf-z-stacks-03212011_g14_s1_w2.tif,z16/mcf-z-stacks-03212011_g14_s1_w2.tif,z8/mcf-z-stacks-03212011_g14_s1_w2.tif,0.5
85,z0/mcf-z-stacks-03212011_g14_s2_w2.tif,z16/mcf-z-stacks-03212011_g14_s2_w2.tif,z8/mcf-z-stacks-03212011_g14_s2_w2.tif,0.5
86,z0/mcf-z-stacks-03212011_g15_s1_w2.tif,z16/mcf-z-stacks-03212011_g15_s1_w2.tif,z8/mcf-z-stacks-03212011_g15_s1_w2.tif,0.5
87,z0/mcf-z-stacks-03212011_g15_s2_w2.tif,z16/mcf-z-stacks-03212011_g15_s2_w2.tif,z8/mcf-z-stacks-03212011_g15_s2_w2.tif,0.5
88,z0/mcf-z-stacks-03212011_g16_s1_w2.tif,z16/mcf-z-stacks-03212011_g16_s1_w2.tif,z8/mcf-z-stacks-03212011_g16_s1_w2.tif,0.5
89,z0/mcf-z-stacks-03212011_g16_s2_w2.tif,z16/mcf-z-stacks-03212011_g16_s2_w2.tif,z8/mcf-z-stacks-03212011_g16_s2_w2.tif,0.5
90,z0/mcf-z-stacks-03212011_g17_s1_w2.tif,z16/mcf-z-stacks-03212011_g17_s1_w2.tif,z8/mcf-z-stacks-03212011_g17_s1_w2.tif,0.5
91,z0/mcf-z-stacks-03212011_g17_s2_w2.tif,z16/mcf-z-stacks-03212011_g17_s2_w2.tif,z8/mcf-z-stacks-03212011_g17_s2_w2.tif,0.5
92,z0/mcf-z-stacks-03212011_g18_s1_w2.tif,z16/mcf-z-stacks-03212011_g18_s1_w2.tif,z8/mcf-z-stacks-03212011_g18_s1_w2.tif,0.5
93,z0/mcf-z-stacks-03212011_g18_s2_w2.tif,z16/mcf-z-stacks-03212011_g18_s2_w2.tif,z8/mcf-z-stacks-03212011_g18_s2_w2.tif,0.5
94,z0/mcf-z-stacks-03212011_g19_s1_w2.tif,z16/mcf-z-stacks-03212011_g19_s1_w2.tif,z8/mcf-z-stacks-03212011_g19_s1_w2.tif,0.5
95,z0/mcf-z-stacks-03212011_g19_s2_w2.tif,z16/mcf-z-stacks-03212011_g19_s2_w2.tif,z8/mcf-z-stacks-03212011_g19_s2_w2.tif,0.5
96,z0/mcf-z-stacks-03212011_g20_s1_w2.tif,z16/mcf-z-stacks-03212011_g20_s1_w2.tif,z8/mcf-z-stacks-03212011_g20_s1_w2.tif,0.5
97,z0/mcf-z-stacks-03212011_g20_s2_w2.tif,z16/mcf-z-stacks-03212011_g20_s2_w2.tif,z8/mcf-z-stacks-03212011_g20_s2_w2.tif,0.5
98,z0/mcf-z-stacks-03212011_g21_s1_w2.tif,z16/mcf-z-stacks-03212011_g21_s1_w2.tif,z8/mcf-z-stacks-03212011_g21_s1_w2.tif,0.5
99,z0/mcf-z-stacks-03212011_g21_s2_w2.tif,z16/mcf-z-stacks-03212011_g21_s2_w2.tif,z8/mcf-z-stacks-03212011_g21_s2_w2.tif,0.5
100,z0/mcf-z-stacks-03212011_g22_s1_w2.tif,z16/mcf-z-stacks-03212011_g22_s1_w2.tif,z8/mcf-z-stacks-03212011_g22_s1_w2.tif,0.5
101,z0/mcf-z-stacks-03212011_g22_s2_w2.tif,z16/mcf-z-stacks-03212011_g22_s2_w2.tif,z8/mcf-z-stacks-03212011_g22_s2_w2.tif,0.5
102,z0/mcf-z-stacks-03212011_g23_s1_w2.tif,z16/mcf-z-stacks-03212011_g23_s1_w2.tif,z8/mcf-z-stacks-03212011_g23_s1_w2.tif,0.5
103,z0/mcf-z-stacks-03212011_g23_s2_w2.tif,z16/mcf-z-stacks-03212011_g23_s2_w2.tif,z8/mcf-z-stacks-03212011_g23_s2_w2.tif,0.5
104,z0/mcf-z-stacks-03212011_g24_s1_w2.tif,z16/mcf-z-stacks-03212011_g24_s1_w2.tif,z8/mcf-z-stacks-03212011_g24_s1_w2.tif,0.5
105,z0/mcf-z-stacks-03212011_g24_s2_w2.tif,z16/mcf-z-stacks-03212011_g24_s2_w2.tif,z8/mcf-z-stacks-03212011_g24_s2_w2.tif,0.5
106,z0/mcf-z-stacks-03212011_h01_s1_w2.tif,z16/mcf-z-stacks-03212011_h01_s1_w2.tif,z8/mcf-z-stacks-03212011_h01_s1_w2.tif,0.5
107,z0/mcf-z-stacks-03212011_h01_s2_w2.tif,z16/mcf-z-stacks-03212011_h01_s2_w2.tif,z8/mcf-z-stacks-03212011_h01_s2_w2.tif,0.5
108,z0/mcf-z-stacks-03212011_h02_s1_w2.tif,z16/mcf-z-stacks-03212011_h02_s1_w2.tif,z8/mcf-z-stacks-03212011_h02_s1_w2.tif,0.5
109,z0/mcf-z-stacks-03212011_h02_s2_w2.tif,z16/mcf-z-stacks-03212011_h02_s2_w2.tif,z8/mcf-z-stacks-03212011_h02_s2_w2.tif,0.5
110,z0/mcf-z-stacks-03212011_h03_s1_w2.tif,z16/mcf-z-stacks-03212011_h03_s1_w2.tif,z8/mcf-z-stacks-03212011_h03_s1_w2.tif,0.5
111,z0/mcf-z-stacks-03212011_h03_s2_w2.tif,z16/mcf-z-stacks-03212011_h03_s2_w2.tif,z8/mcf-z-stacks-03212011_h03_s2_w2.tif,0.5
112,z0/mcf-z-stacks-03212011_h04_s1_w2.tif,z16/mcf-z-stacks-03212011_h04_s1_w2.tif,z8/mcf-z-stacks-03212011_h04_s1_w2.tif,0.5
113,z0/mcf-z-stacks-03212011_h04_s2_w2.tif,z16/mcf-z-stacks-03212011_h04_s2_w2.tif,z8/mcf-z-stacks-03212011_h04_s2_w2.tif,0.5
114,z0/mcf-z-stacks-03212011_h05_s1_w2.tif,z16/mcf-z-stacks-03212011_h05_s1_w2.tif,z8/mcf-z-stacks-03212011_h05_s1_w2.tif,0.5
115,z0/mcf-z-stacks-03212011_h05_s2_w2.tif,z16/mcf-z-stacks-03212011_h05_s2_w2.tif,z8/mcf-z-stacks-03212011_h05_s2_w2.tif,0.5
116,z0/mcf-z-stacks-03212011_h06_s1_w2.tif,z16/mcf-z-stacks-03212011_h06_s1_w2.tif,z8/mcf-z-stacks-03212011_h06_s1_w2.tif,0.5
117,z0/mcf-z-stacks-03212011_h06_s2_w2.tif,z16/mcf-z-stacks-03212011_h06_s2_w2.tif,z8/mcf-z-stacks-03212011_h06_s2_w2.tif,0.5
118,z0/mcf-z-stacks-03212011_h07_s1_w2.tif,z16/mcf-z-stacks-03212011_h07_s1_w2.tif,z8/mcf-z-stacks-03212011_h07_s1_w2.tif,0.5
119,z0/mcf-z-stacks-03212011_h07_s2_w2.tif,z16/mcf-z-stacks-03212011_h07_s2_w2.tif,z8/mcf-z-stacks-03212011_h07_s2_w2.tif,0.5
120,z0/mcf-z-stacks-03212011_h08_s1_w2.tif,z16/mcf-z-stacks-03212011_h08_s1_w2.tif,z8/mcf-z-stacks-03212011_h08_s1_w2.tif,0.5
121,z0/mcf-z-stacks-03212011_h08_s2_w2.tif,z16/mcf-z-stacks-03212011_h08_s2_w2.tif,z8/mcf-z-stacks-03212011_h08_s2_w2.tif,0.5
122,z0/mcf-z-stacks-03212011_h09_s1_w2.tif,z16/mcf-z-stacks-03212011_h09_s1_w2.tif,z8/mcf-z-stacks-03212011_h09_s1_w2.tif,0.5
123,z0/mcf-z-stacks-03212011_h09_s2_w2.tif,z16/mcf-z-stacks-03212011_h09_s2_w2.tif,z8/mcf-z-stacks-03212011_h09_s2_w2.tif,0.5
124,z0/mcf-z-stacks-03212011_h10_s1_w2.tif,z16/mcf-z-stacks-03212011_h10_s1_w2.tif,z8/mcf-z-stacks-03212011_h10_s1_w2.tif,0.5
125,z0/mcf-z-stacks-03212011_h10_s2_w2.tif,z16/mcf-z-stacks-03212011_h10_s2_w2.tif,z8/mcf-z-stacks-03212011_h10_s2_w2.tif,0.5
126,z0/mcf-z-stacks-03212011_h11_s1_w2.tif,z16/mcf-z-stacks-03212011_h11_s1_w2.tif,z8/mcf-z-stacks-03212011_h11_s1_w2.tif,0.5
127,z0/mcf-z-stacks-03212011_h11_s2_w2.tif,z16/mcf-z-stacks-03212011_h11_s2_w2.tif,z8/mcf-z-stacks-03212011_h11_s2_w2.tif,0.5
128,z0/mcf-z-stacks-03212011_h12_s1_w2.tif,z16/mcf-z-stacks-03212011_h12_s1_w2.tif,z8/mcf-z-stacks-03212011_h12_s1_w2.tif,0.5
129,z0/mcf-z-stacks-03212011_h12_s2_w2.tif,z16/mcf-z-stacks-03212011_h12_s2_w2.tif,z8/mcf-z-stacks-03212011_h12_s2_w2.tif,0.5
130,z0/mcf-z-stacks-03212011_h13_s1_w2.tif,z16/mcf-z-stacks-03212011_h13_s1_w2.tif,z8/mcf-z-stacks-03212011_h13_s1_w2.tif,0.5
131,z0/mcf-z-stacks-03212011_h13_s2_w2.tif,z16/mcf-z-stacks-03212011_h13_s2_w2.tif,z8/mcf-z-stacks-03212011_h13_s2_w2.tif,0.5
132,z0/mcf-z-stacks-03212011_h14_s1_w2.tif,z16/mcf-z-stacks-03212011_h14_s1_w2.tif,z8/mcf-z-stacks-03212011_h14_s1_w2.tif,0.5
133,z0/mcf-z-stacks-03212011_h14_s2_w2.tif,z16/mcf-z-stacks-03212011_h14_s2_w2.tif,z8/mcf-z-stacks-03212011_h14_s2_w2.tif,0.5
134,z0/mcf-z-stacks-03212011_h15_s1_w2.tif,z16/mcf-z-stacks-03212011_h15_s1_w2.tif,z8/mcf-z-stacks-03212011_h15_s1_w2.tif,0.5
135,z0/mcf-z-stacks-03212011_h15_s2_w2.tif,z16/mcf-z-stacks-03212011_h15_s2_w2.tif,z8/mcf-z-stacks-03212011_h15_s2_w2.tif,0.5
136,z0/mcf-z-stacks-03212011_h16_s1_w2.tif,z16/mcf-z-stacks-03212011_h16_s1_w2.tif,z8/mcf-z-stacks-03212011_h16_s1_w2.tif,0.5
137,z0/mcf-z-stacks-03212011_h16_s2_w2.tif,z16/mcf-z-stacks-03212011_h16_s2_w2.tif,z8/mcf-z-stacks-03212011_h16_s2_w2.tif,0.5
138,z0/mcf-z-stacks-03212011_h17_s1_w2.tif,z16/mcf-z-stacks-03212011_h17_s1_w2.tif,z8/mcf-z-stacks-03212011_h17_s1_w2.tif,0.5
139,z0/mcf-z-stacks-03212011_h17_s2_w2.tif,z16/mcf-z-stacks-03212011_h17_s2_w2.tif,z8/mcf-z-stacks-03212011_h17_s2_w2.tif,0.5
140,z0/mcf-z-stacks-03212011_h18_s1_w2.tif,z16/mcf-z-stacks-03212011_h18_s1_w2.tif,z8/mcf-z-stacks-03212011_h18_s1_w2.tif,0.5
141,z0/mcf-z-stacks-03212011_h18_s2_w2.tif,z16/mcf-z-stacks-03212011_h18_s2_w2.tif,z8/mcf-z-stacks-03212011_h18_s2_w2.tif,0.5
142,z0/mcf-z-stacks-03212011_h19_s1_w2.tif,z16/mcf-z-stacks-03212011_h19_s1_w2.tif,z8/mcf-z-stacks-03212011_h19_s1_w2.tif,0.5
143,z0/mcf-z-stacks-03212011_h19_s2_w2.tif,z16/mcf-z-stacks-03212011_h19_s2_w2.tif,z8/mcf-z-stacks-03212011_h19_s2_w2.tif,0.5
144,z0/mcf-z-stacks-03212011_h20_s1_w2.tif,z16/mcf-z-stacks-03212011_h20_s1_w2.tif,z8/mcf-z-stacks-03212011_h20_s1_w2.tif,0.5
145,z0/mcf-z-stacks-03212011_h20_s2_w2.tif,z16/mcf-z-stacks-03212011_h20_s2_w2.tif,z8/mcf-z-stacks-03212011_h20_s2_w2.tif,0.5
146,z0/mcf-z-stacks-03212011_h21_s1_w2.tif,z16/mcf-z-stacks-03212011_h21_s1_w2.tif,z8/mcf-z-stacks-03212011_h21_s1_w2.tif,0.5
147,z0/mcf-z-stacks-03212011_h21_s2_w2.tif,z16/mcf-z-stacks-03212011_h21_s2_w2.tif,z8/mcf-z-stacks-03212011_h21_s2_w2.tif,0.5
148,z0/mcf-z-stacks-03212011_h22_s1_w2.tif,z16/mcf-z-stacks-03212011_h22_s1_w2.tif,z8/mcf-z-stacks-03212011_h22_s1_w2.tif,0.5
149,z0/mcf-z-stacks-03212011_h22_s2_w2.tif,z16/mcf-z-stacks-03212011_h22_s2_w2.tif,z8/mcf-z-stacks-03212011_h22_s2_w2.tif,0.5
